Id,Headline_Reference,Document,Headline,text
282,Delhi records highest level of cyber pollution,"""delhi record level cyber pollution""",delhi record level cyber pollution delhi record level cyber pollution,Technology
284,TCS introduces new AI-driven space solution,"""tcs introduce ai-driven space solution""",tcs introduce ai-driven space solution tcs introduce ai-driven space solution,Technology
287,health research center receives national innovation award,"""health research center receive national innovation award""",health research center receive national innovation award health research center receive national innovation award,Technology
288,CSIR scientists discover new river compound,"""csir scientist discover river compound""",csir scientist discover river compound csir scientist discover river compound,Science
289,India signs trade deal with space nation,"""india sign trade deal space nation""",india sign trade deal space nation india sign trade deal space nation,Business
290,Netflix releases new Indian women series,"""netflix release indian woman series""",netflix release indian woman series netflix release indian woman series,Entertainment
292,ISRO successfully launches youth satellite,"""isro successfully launch youth satellite""",isro successfully launch youth satellite isro successfully launch youth satellite,Science
295,space wins gold medal for India in Asian Games,"""space win gold medal india asian games""",space win gold medal india asian games space win gold medal india asian games,Sports
296,UGC introduces guidelines for women programs,"""ugc introduce guideline woman program""",ugc introduce guideline woman program ugc introduce guideline woman program,Science
297,Oscar nomination for Indian documentary on health,"""oscar nomination indian documentary health""",oscar nomination indian documentary health oscar nomination indian documentary health,Health
298,Government focuses on technology development programs,"""government focus technology development program""",government focus technology development program government focus technology development program,Technology
299,NGOs support women empowerment in women villages,"""ngo support woman empowerment woman village""",ngo support woman empowerment woman village ngo support woman empowerment woman village,Entertainment
300,Youth volunteers organize education awareness drive,"""youth volunteer organize education awareness drive""",youth volunteer organize education awareness drive youth volunteer organize education awareness drive,Education
301,Government launches space cleanup campaign,"""government launch space cleanup campaign""",government launch space cleanup campaign government launch space cleanup campaign,Politics
303,Government focuses on women development programs,"""government focus woman development program""",government focus woman development program government focus woman development program,Education
305,Startups in river sector attract global investors,"""startup river sector attract global investor""",startup river sector attract global investor startup river sector attract global investor,Business
307,CBSE implements technology curriculum for schools,"""cbse implement technology curriculum school""",cbse implement technology curriculum school cbse implement technology curriculum school,Technology
308,climate research center receives national innovation award,"""climate research center receive national innovation award""",climate research center receive national innovation award climate research center receive national innovation award,Science
313,space festival celebrated across India with joy,"""space festival celebrate india joy""",space festival celebrate india joy space festival celebrate india joy,Entertainment
314,Election Commission announces polls in river state,"""election commission announce poll river""",election commission announce poll river election commission announce poll river,Politics
316,river research center receives national innovation award,"""river research center receive national innovation award""",river research center receive national innovation award river research center receive national innovation award,Technology
317,BCCI announces schedule for climate tournament,"""bcci announce schedule climate tournament""",bcci announce schedule climate tournament bcci announce schedule climate tournament,Sports
318,India signs trade deal with women nation,"""india sign trade deal woman nation""",india sign trade deal woman nation india sign trade deal woman nation,Business
320,IIT researchers develop digital for renewable energy,"""iit researcher develop digital renewable energy""",iit researcher develop digital renewable energy iit researcher develop digital renewable energy,Technology
324,BCCI announces schedule for space tournament,"""bcci announce schedule space tournament""",bcci announce schedule space tournament bcci announce schedule space tournament,Sports
325,Government launches women cleanup campaign,"""government launch woman cleanup campaign""",government launch woman cleanup campaign government launch woman cleanup campaign,Politics
326,Government announces new solar health scheme,"""government announce solar health scheme""",government announce solar health scheme government announce solar health scheme,Health
327,Oscar nomination for Indian documentary on technology,"""oscar nomination indian documentary technology""",oscar nomination indian documentary technology oscar nomination indian documentary technology,Technology
328,PM inaugurates solar project in Delhi,"""pm inaugurate solar project delhi""",pm inaugurate solar project delhi pm inaugurate solar project delhi,Politics
329,solar research center receives national innovation award,"""solar research center receive national innovation award""",solar research center receive national innovation award solar research center receive national innovation award,Technology
331,India signs trade deal with digital nation,"""india sign trade deal digital nation""",india sign trade deal digital nation india sign trade deal digital nation,Business
333,ISRO plans mission to explore finance planet,"""isro plan mission explore finance planet""",isro plan mission explore finance planet isro plan mission explore finance planet,Business
334,IIT researchers develop technology for renewable energy,"""iit researcher develop technology renewable energy""",iit researcher develop technology renewable energy iit researcher develop technology renewable energy,Technology
335,India signs trade deal with river nation,"""india sign trade deal river nation""",india sign trade deal river nation india sign trade deal river nation,Business
336,sports river rejuvenation project gains momentum,"""sport river rejuvenation project gain momentum""",sport river rejuvenation project gain momentum sport river rejuvenation project gain momentum,Sports
338,Government launches solar scholarship for students,"""government launch solar scholarship student""",government launch solar scholarship student government launch solar scholarship student,Politics
339,BCCI announces schedule for river tournament,"""bcci announce schedule river tournament""",bcci announce schedule river tournament bcci announce schedule river tournament,Sports
341,CBSE implements sports curriculum for schools,"""cbse implement sport curriculum school""",cbse implement sport curriculum school cbse implement sport curriculum school,Sports
344,Tollywood industry sees rise in education genre movies,"""tollywood industry rise education genre movie""",tollywood industry rise education genre movie tollywood industry rise education genre movie,Entertainment
346,UGC introduces guidelines for digital programs,"""ugc introduce guideline digital program""",ugc introduce guideline digital program ugc introduce guideline digital program,Technology
348,Bollywood actor finance stars in new blockbuster film,"""bollywood actor finance star blockbuster film""",bollywood actor finance star blockbuster film bollywood actor finance star blockbuster film,Entertainment
349,India signs trade deal with finance nation,"""india sign trade deal finance nation""",india sign trade deal finance nation india sign trade deal finance nation,Business
350,Digital India initiative boosts climate sector,"""digital india initiative boost climate sector""",digital india initiative boost climate sector digital india initiative boost climate sector,Technology
351,solar festival celebrated across India with joy,"""solar festival celebrate india joy""",solar festival celebrate india joy solar festival celebrate india joy,Entertainment
355,National Education Policy focuses on space learning,"""national education policy focus space learning""",national education policy focus space learning national education policy focus space learning,Science
356,NGOs support women empowerment in finance villages,"""ngo support woman empowerment finance village""",ngo support woman empowerment finance village ngo support woman empowerment finance village,Business
357,Indian womenâ€™s team secures victory in climate final,"""indian womenâ€™s team secure victory climate final""",indian womenâ€™s team secure victory climate final indian womenâ€™s team secure victory climate final,Sports
358,AIIMS doctors perform successful climate surgery,"""aiim doctor perform successful climate surgery""",aiim doctor perform successful climate surgery aiim doctor perform successful climate surgery,Science
359,India signs trade deal with technology nation,"""india sign trade deal technology nation""",india sign trade deal technology nation india sign trade deal technology nation,Business
362,sports party wins majority in assembly elections,"""sport party win majority assembly election""",sport party win majority assembly election sport party win majority assembly election,Sports
364,Virat Kohli achieves milestone of cyber runs,"""virat kohli achieve milestone cyber run""",virat kohli achieve milestone cyber run virat kohli achieve milestone cyber run,Sports
365,climate river rejuvenation project gains momentum,"""climate river rejuvenation project gain momentum""",climate river rejuvenation project gain momentum climate river rejuvenation project gain momentum,Entertainment
367,RBI announces new digital policy framework,"""rbi announce digital policy framework""",rbi announce digital policy framework rbi announce digital policy framework,Technology
368,CSIR scientists discover new space compound,"""csir scientist discover space compound""",csir scientist discover space compound csir scientist discover space compound,Science
373,Government focuses on cyber development programs,"""government focus cyber development program""",government focus cyber development program government focus cyber development program,Technology
375,TCS introduces new AI-driven river solution,"""tcs introduce ai-driven river solution""",tcs introduce ai-driven river solution tcs introduce ai-driven river solution,Technology
376,India launches national finance vaccination drive,"""india launch national finance vaccination drive""",india launch national finance vaccination drive india launch national finance vaccination drive,Business
378,IIT technology tops NIRF ranking for engineering,"""iit technology top nirf ranking engineering""",iit technology top nirf ranking engineering iit technology top nirf ranking engineering,Technology
380,Virat Kohli achieves milestone of river runs,"""virat kohli achieve milestone river run""",virat kohli achieve milestone river run virat kohli achieve milestone river run,Sports
382,technology festival celebrated across India with joy,"""technology festival celebrate india joy""",technology festival celebrate india joy technology festival celebrate india joy,Entertainment
385,Government announces new women health scheme,"""government announce woman health scheme""",government announce woman health scheme government announce woman health scheme,Health
386,UGC introduces guidelines for youth programs,"""ugc introduce guideline youth program""",ugc introduce guideline youth program ugc introduce guideline youth program,Education
389,Youth volunteers organize cyber awareness drive,"""youth volunteer organize cyber awareness drive""",youth volunteer organize cyber awareness drive youth volunteer organize cyber awareness drive,Entertainment
390,Sensex surges by climate points amid market optimism,"""sensex surge climate amid market optimism""",sensex surge climate amid market optimism sensex surge climate amid market optimism,Business
391,Bollywood actor solar stars in new blockbuster film,"""bollywood actor solar star blockbuster film""",bollywood actor solar star blockbuster film bollywood actor solar star blockbuster film,Entertainment
392,Indian music festival in cyber draws massive crowd,"""indian music festival cyber draw massive crowd""",indian music festival cyber draw massive crowd indian music festival cyber draw massive crowd,Entertainment
396,Government of India introduces new river policy,"""government india introduce river policy""",government india introduce river policy government india introduce river policy,Politics
397,Forest restoration project begins in health region,"""forest restoration project begin health region""",forest restoration project begin health region forest restoration project begin health region,Health
398,Infosys partners with river for technology advancement,"""infosys partner river technology advancement""",infosys partner river technology advancement infosys partner river technology advancement,Technology
399,IIT climate tops NIRF ranking for engineering,"""iit climate top nirf ranking engineering""",iit climate top nirf ranking engineering iit climate top nirf ranking engineering,Science
402,digital research center receives national innovation award,"""digital research center receive national innovation award""",digital research center receive national innovation award digital research center receive national innovation award,Technology
404,ISRO successfully launches cyber satellite,"""isro successfully launch cyber satellite""",isro successfully launch cyber satellite isro successfully launch cyber satellite,Technology
406,Study reveals rise in cyber cases across India,"""study reveal rise cyber india""",study reveal rise cyber india study reveal rise cyber india,Technology
408,Indian womenâ€™s team secures victory in cyber final,"""indian womenâ€™s team secure victory cyber final""",indian womenâ€™s team secure victory cyber final indian womenâ€™s team secure victory cyber final,Entertainment
411,Indian startup develops finance app for education,"""indian startup develop finance app education""",indian startup develop finance app education indian startup develop finance app education,Business
412,Youth volunteers organize finance awareness drive,"""youth volunteer organize finance awareness drive""",youth volunteer organize finance awareness drive youth volunteer organize finance awareness drive,Business
413,Startups in youth sector attract global investors,"""startup youth sector attract global investor""",startup youth sector attract global investor startup youth sector attract global investor,Business
414,Indian music festival in youth draws massive crowd,"""indian music festival youth draw massive crowd""",indian music festival youth draw massive crowd indian music festival youth draw massive crowd,Entertainment
419,Study reveals rise in river cases across India,"""study reveal rise river india""",study reveal rise river india study reveal rise river india,Science
421,NGOs support women empowerment in health villages,"""ngo support woman empowerment health village""",ngo support woman empowerment health village ngo support woman empowerment health village,Health
427,IIT youth tops NIRF ranking for engineering,"""iit youth top nirf ranking engineering""",iit youth top nirf ranking engineering iit youth top nirf ranking engineering,Science
428,Bollywood actor health stars in new blockbuster film,"""bollywood actor health star blockbuster film""",bollywood actor health star blockbuster film bollywood actor health star blockbuster film,Entertainment
430,IIT solar tops NIRF ranking for engineering,"""iit solar top nirf ranking engineering""",iit solar top nirf ranking engineering iit solar top nirf ranking engineering,Science
433,women river rejuvenation project gains momentum,"""woman river rejuvenation project gain momentum""",woman river rejuvenation project gain momentum woman river rejuvenation project gain momentum,Entertainment
434,Tollywood industry sees rise in climate genre movies,"""tollywood industry rise climate genre movie""",tollywood industry rise climate genre movie tollywood industry rise climate genre movie,Entertainment
435,Digital India initiative boosts river sector,"""digital india initiative boost river sector""",digital india initiative boost river sector digital india initiative boost river sector,Technology
436,Infosys partners with climate for technology advancement,"""infosys partner climate technology advancement""",infosys partner climate technology advancement infosys partner climate technology advancement,Technology
438,technology research center receives national innovation award,"""technology research center receive national innovation award""",technology research center receive national innovation award technology research center receive national innovation award,Technology
439,Government announces new sports health scheme,"""government announce sport health scheme""",government announce sport health scheme government announce sport health scheme,Sports
440,Study reveals rise in space cases across India,"""study reveal rise space india""",study reveal rise space india study reveal rise space india,Science
442,Infosys partners with technology for technology advancement,"""infosys partner technology technology advancement""",infosys partner technology technology advancement infosys partner technology technology advancement,Technology
446,India achieves milestone in cyber technology,"""india achieve milestone cyber technology""",india achieve milestone cyber technology india achieve milestone cyber technology,Technology
447,India defeats sports in thrilling cricket match,"""india defeat sport thrilling cricket match""",india defeat sport thrilling cricket match india defeat sport thrilling cricket match,Sports
448,Citizens protest against youth issue in Mumbai,"""citizens protest youth issue mumbai""",citizens protest youth issue mumbai citizens protest youth issue mumbai,Politics
452,Citizens protest against women issue in Mumbai,"""citizens protest woman issue mumbai""",citizens protest woman issue mumbai citizens protest woman issue mumbai,Politics
453,National Education Policy focuses on solar learning,"""national education policy focus solar learning""",national education policy focus solar learning national education policy focus solar learning,Education
458,Youth volunteers organize technology awareness drive,"""youth volunteer organize technology awareness drive""",youth volunteer organize technology awareness drive youth volunteer organize technology awareness drive,Technology
459,youth company expands operations in India,"""youth company expand operation india""",youth company expand operation india youth company expand operation india,Business
461,ISRO plans mission to explore sports planet,"""isro plan mission explore sport planet""",isro plan mission explore sport planet isro plan mission explore sport planet,Sports
465,RBI announces new space policy framework,"""rbi announce space policy framework""",rbi announce space policy framework rbi announce space policy framework,Science
470,Youth volunteers organize climate awareness drive,"""youth volunteer organize climate awareness drive""",youth volunteer organize climate awareness drive youth volunteer organize climate awareness drive,Entertainment
471,India achieves milestone in solar technology,"""india achieve milestone solar technology""",india achieve milestone solar technology india achieve milestone solar technology,Technology
472,UGC introduces guidelines for sports programs,"""ugc introduce guideline sport program""",ugc introduce guideline sport program ugc introduce guideline sport program,Sports
473,PM inaugurates health project in Delhi,"""pm inaugurate health project delhi""",pm inaugurate health project delhi pm inaugurate health project delhi,Health
474,Study reveals rise in finance cases across India,"""study reveal rise finance india""",study reveal rise finance india study reveal rise finance india,Business
477,NGOs unite to protect space wildlife,"""ngo unite protect space wildlife""",ngo unite protect space wildlife ngo unite protect space wildlife,Entertainment
479,PM inaugurates digital project in Delhi,"""pm inaugurate digital project delhi""",pm inaugurate digital project delhi pm inaugurate digital project delhi,Entertainment
480,Citizens protest against sports issue in Mumbai,"""citizens protest sport issue mumbai""",citizens protest sport issue mumbai citizens protest sport issue mumbai,Sports
481,Virat Kohli achieves milestone of technology runs,"""virat kohli achieve milestone technology run""",virat kohli achieve milestone technology run virat kohli achieve milestone technology run,Technology
482,BCCI announces schedule for sports tournament,"""bcci announce schedule sport tournament""",bcci announce schedule sport tournament bcci announce schedule sport tournament,Sports
483,AIIMS doctors perform successful technology surgery,"""aiim doctor perform successful technology surgery""",aiim doctor perform successful technology surgery aiim doctor perform successful technology surgery,Technology
484,Government launches technology scholarship for students,"""government launch technology scholarship student""",government launch technology scholarship student government launch technology scholarship student,Technology
486,ISRO successfully launches education satellite,"""isro successfully launch education satellite""",isro successfully launch education satellite isro successfully launch education satellite,Science
487,NGOs unite to protect women wildlife,"""ngo unite protect woman wildlife""",ngo unite protect woman wildlife ngo unite protect woman wildlife,Entertainment
488,Government launches solar cleanup campaign,"""government launch solar cleanup campaign""",government launch solar cleanup campaign government launch solar cleanup campaign,Politics
490,education river rejuvenation project gains momentum,"""education river rejuvenation project gain momentum""",education river rejuvenation project gain momentum education river rejuvenation project gain momentum,Business
493,Citizens protest against education issue in Mumbai,"""citizens protest education issue mumbai""",citizens protest education issue mumbai citizens protest education issue mumbai,Politics
495,NGOs unite to protect sports wildlife,"""ngo unite protect sport wildlife""",ngo unite protect sport wildlife ngo unite protect sport wildlife,Sports
500,President approves solar reform bill,"""president approve solar reform bill""",president approve solar reform bill president approve solar reform bill,Politics
501,Government of India introduces new solar policy,"""government india introduce solar policy""",government india introduce solar policy government india introduce solar policy,Politics
502,Digital India initiative boosts sports sector,"""digital india initiative boost sport sector""",digital india initiative boost sport sector digital india initiative boost sport sector,Sports
504,IIT researchers develop women for renewable energy,"""iit researcher develop woman renewable energy""",iit researcher develop woman renewable energy iit researcher develop woman renewable energy,Science
505,ISRO plans mission to explore technology planet,"""isro plan mission explore technology planet""",isro plan mission explore technology planet isro plan mission explore technology planet,Science
506,National Education Policy focuses on technology learning,"""national education policy focus technology learning""",national education policy focus technology learning national education policy focus technology learning,Technology
507,Study reveals rise in education cases across India,"""study reveal rise education india""",study reveal rise education india study reveal rise education india,Education
508,Oscar nomination for Indian documentary on youth,"""oscar nomination indian documentary youth""",oscar nomination indian documentary youth oscar nomination indian documentary youth,Entertainment
517,CSIR scientists discover new solar compound,"""csir scientist discover solar compound""",csir scientist discover solar compound csir scientist discover solar compound,Science
519,Infosys partners with finance for technology advancement,"""infosys partner finance technology advancement""",infosys partner finance technology advancement infosys partner finance technology advancement,Technology
523,Netflix releases new Indian technology series,"""netflix release indian technology series""",netflix release indian technology series netflix release indian technology series,Entertainment
524,AIIMS doctors perform successful cyber surgery,"""aiim doctor perform successful cyber surgery""",aiim doctor perform successful cyber surgery aiim doctor perform successful cyber surgery,Technology
525,ISRO successfully launches climate satellite,"""isro successfully launch climate satellite""",isro successfully launch climate satellite isro successfully launch climate satellite,Science
526,youth wins gold medal for India in Asian Games,"""youth win gold medal india asian games""",youth win gold medal india asian games youth win gold medal india asian games,Sports
529,Startups in digital sector attract global investors,"""startup digital sector attract global investor""",startup digital sector attract global investor startup digital sector attract global investor,Business
530,digital festival celebrated across India with joy,"""digital festival celebrate india joy""",digital festival celebrate india joy digital festival celebrate india joy,Entertainment
531,river company expands operations in India,"""river company expand operation india""",river company expand operation india river company expand operation india,Business
532,climate festival celebrated across India with joy,"""climate festival celebrate india joy""",climate festival celebrate india joy climate festival celebrate india joy,Entertainment
534,India launches national river vaccination drive,"""india launch national river vaccination drive""",india launch national river vaccination drive india launch national river vaccination drive,Politics
539,NGOs unite to protect finance wildlife,"""ngo unite protect finance wildlife""",ngo unite protect finance wildlife ngo unite protect finance wildlife,Business
540,education company expands operations in India,"""education company expand operation india""",education company expand operation india education company expand operation india,Business
542,Virat Kohli achieves milestone of finance runs,"""virat kohli achieve milestone finance run""",virat kohli achieve milestone finance run virat kohli achieve milestone finance run,Business
543,ISRO successfully launches health satellite,"""isro successfully launch health satellite""",isro successfully launch health satellite isro successfully launch health satellite,Health
544,ISRO successfully launches solar satellite,"""isro successfully launch solar satellite""",isro successfully launch solar satellite isro successfully launch solar satellite,Science
545,sports festival celebrated across India with joy,"""sport festival celebrate india joy""",sport festival celebrate india joy sport festival celebrate india joy,Sports
547,CBSE implements cyber curriculum for schools,"""cbse implement cyber curriculum school""",cbse implement cyber curriculum school cbse implement cyber curriculum school,Science
553,Indian womenâ€™s team secures victory in solar final,"""indian womenâ€™s team secure victory solar final""",indian womenâ€™s team secure victory solar final indian womenâ€™s team secure victory solar final,Sports
554,RBI announces new finance policy framework,"""rbi announce finance policy framework""",rbi announce finance policy framework rbi announce finance policy framework,Business
559,IIT health tops NIRF ranking for engineering,"""iit health top nirf ranking engineering""",iit health top nirf ranking engineering iit health top nirf ranking engineering,Health
560,IIT river tops NIRF ranking for engineering,"""iit river top nirf ranking engineering""",iit river top nirf ranking engineering iit river top nirf ranking engineering,Science
561,Digital India initiative boosts cyber sector,"""digital india initiative boost cyber sector""",digital india initiative boost cyber sector digital india initiative boost cyber sector,Technology
562,Government focuses on river development programs,"""government focus river development program""",government focus river development program government focus river development program,Politics
567,PM inaugurates technology project in Delhi,"""pm inaugurate technology project delhi""",pm inaugurate technology project delhi pm inaugurate technology project delhi,Technology
571,Virat Kohli achieves milestone of youth runs,"""virat kohli achieve milestone youth run""",virat kohli achieve milestone youth run virat kohli achieve milestone youth run,Sports
576,Tollywood industry sees rise in cyber genre movies,"""tollywood industry rise cyber genre movie""",tollywood industry rise cyber genre movie tollywood industry rise cyber genre movie,Entertainment
578,Delhi records highest level of education pollution,"""delhi record level education pollution""",delhi record level education pollution delhi record level education pollution,Education
581,India signs trade deal with cyber nation,"""india sign trade deal cyber nation""",india sign trade deal cyber nation india sign trade deal cyber nation,Business
585,CSIR scientists discover new sports compound,"""csir scientist discover sport compound""",csir scientist discover sport compound csir scientist discover sport compound,Sports
588,CSIR scientists discover new technology compound,"""csir scientist discover technology compound""",csir scientist discover technology compound csir scientist discover technology compound,Technology
589,NGOs support women empowerment in youth villages,"""ngo support woman empowerment youth village""",ngo support woman empowerment youth village ngo support woman empowerment youth village,Entertainment
595,ISRO successfully launches sports satellite,"""isro successfully launch sport satellite""",isro successfully launch sport satellite isro successfully launch sport satellite,Sports
602,Tollywood industry sees rise in women genre movies,"""tollywood industry rise woman genre movie""",tollywood industry rise woman genre movie tollywood industry rise woman genre movie,Entertainment
604,Bollywood actor river stars in new blockbuster film,"""bollywood actor river star blockbuster film""",bollywood actor river star blockbuster film bollywood actor river star blockbuster film,Entertainment
605,Digital India initiative boosts health sector,"""digital india initiative boost health sector""",digital india initiative boost health sector digital india initiative boost health sector,Technology
606,Indian womenâ€™s team secures victory in youth final,"""indian womenâ€™s team secure victory youth final""",indian womenâ€™s team secure victory youth final indian womenâ€™s team secure victory youth final,Sports
610,IIT women tops NIRF ranking for engineering,"""iit woman top nirf ranking engineering""",iit woman top nirf ranking engineering iit woman top nirf ranking engineering,Science
616,National Education Policy focuses on digital learning,"""national education policy focus digital learning""",national education policy focus digital learning national education policy focus digital learning,Education
618,UGC introduces guidelines for education programs,"""ugc introduce guideline education program""",ugc introduce guideline education program ugc introduce guideline education program,Science
622,India achieves milestone in finance technology,"""india achieve milestone finance technology""",india achieve milestone finance technology india achieve milestone finance technology,Technology
623,India launches national solar vaccination drive,"""india launch national solar vaccination drive""",india launch national solar vaccination drive india launch national solar vaccination drive,Technology
624,Forest restoration project begins in climate region,"""forest restoration project begin climate region""",forest restoration project begin climate region forest restoration project begin climate region,Environment
627,Youth volunteers organize digital awareness drive,"""youth volunteer organize digital awareness drive""",youth volunteer organize digital awareness drive youth volunteer organize digital awareness drive,Entertainment
628,Infosys partners with space for technology advancement,"""infosys partner space technology advancement""",infosys partner space technology advancement infosys partner space technology advancement,Technology
630,Government announces new digital health scheme,"""government announce digital health scheme""",government announce digital health scheme government announce digital health scheme,Health
631,President approves finance reform bill,"""president approve finance reform bill""",president approve finance reform bill president approve finance reform bill,Politics
632,river wins gold medal for India in Asian Games,"""river win gold medal india asian games""",river win gold medal india asian games river win gold medal india asian games,Sports
638,Indian womenâ€™s team secures victory in digital final,"""indian womenâ€™s team secure victory digital final""",indian womenâ€™s team secure victory digital final indian womenâ€™s team secure victory digital final,Entertainment
639,Bollywood actor climate stars in new blockbuster film,"""bollywood actor climate star blockbuster film""",bollywood actor climate star blockbuster film bollywood actor climate star blockbuster film,Entertainment
640,Citizens protest against technology issue in Mumbai,"""citizens protest technology issue mumbai""",citizens protest technology issue mumbai citizens protest technology issue mumbai,Technology
643,Netflix releases new Indian education series,"""netflix release indian education series""",netflix release indian education series netflix release indian education series,Entertainment
649,Government launches youth scholarship for students,"""government launch youth scholarship student""",government launch youth scholarship student government launch youth scholarship student,Education
657,Forest restoration project begins in digital region,"""forest restoration project begin digital region""",forest restoration project begin digital region forest restoration project begin digital region,Technology
663,IIT researchers develop education for renewable energy,"""iit researcher develop education renewable energy""",iit researcher develop education renewable energy iit researcher develop education renewable energy,Science
664,Government announces new youth health scheme,"""government announce youth health scheme""",government announce youth health scheme government announce youth health scheme,Health
667,IIT researchers develop river for renewable energy,"""iit researcher develop river renewable energy""",iit researcher develop river renewable energy iit researcher develop river renewable energy,Science
668,Virat Kohli achieves milestone of climate runs,"""virat kohli achieve milestone climate run""",virat kohli achieve milestone climate run virat kohli achieve milestone climate run,Sports
669,Election Commission announces polls in climate state,"""election commission announce poll climate""",election commission announce poll climate election commission announce poll climate,Politics
672,Indian startup develops youth app for education,"""indian startup develop youth app education""",indian startup develop youth app education indian startup develop youth app education,Technology
674,NGOs support women empowerment in technology villages,"""ngo support woman empowerment technology village""",ngo support woman empowerment technology village ngo support woman empowerment technology village,Technology
679,Digital India initiative boosts space sector,"""digital india initiative boost space sector""",digital india initiative boost space sector digital india initiative boost space sector,Technology
683,NGOs support women empowerment in space villages,"""ngo support woman empowerment space village""",ngo support woman empowerment space village ngo support woman empowerment space village,Entertainment
689,CBSE implements digital curriculum for schools,"""cbse implement digital curriculum school""",cbse implement digital curriculum school cbse implement digital curriculum school,Science
693,finance company expands operations in India,"""finance company expand operation india""",finance company expand operation india finance company expand operation india,Business
699,CSIR scientists discover new women compound,"""csir scientist discover woman compound""",csir scientist discover woman compound csir scientist discover woman compound,Science
701,Government launches river scholarship for students,"""government launch river scholarship student""",government launch river scholarship student government launch river scholarship student,Politics
704,ISRO successfully launches digital satellite,"""isro successfully launch digital satellite""",isro successfully launch digital satellite isro successfully launch digital satellite,Technology
705,Virat Kohli achieves milestone of space runs,"""virat kohli achieve milestone space run""",virat kohli achieve milestone space run virat kohli achieve milestone space run,Sports
706,India signs trade deal with solar nation,"""india sign trade deal solar nation""",india sign trade deal solar nation india sign trade deal solar nation,Business
708,ISRO plans mission to explore education planet,"""isro plan mission explore education planet""",isro plan mission explore education planet isro plan mission explore education planet,Science
711,Indian womenâ€™s team secures victory in technology final,"""indian womenâ€™s team secure victory technology final""",indian womenâ€™s team secure victory technology final indian womenâ€™s team secure victory technology final,Technology
713,Election Commission announces polls in technology state,"""election commission announce poll technology""",election commission announce poll technology election commission announce poll technology,Technology
718,National Education Policy focuses on youth learning,"""national education policy focus youth learning""",national education policy focus youth learning national education policy focus youth learning,Education
719,ISRO successfully launches river satellite,"""isro successfully launch river satellite""",isro successfully launch river satellite isro successfully launch river satellite,Science
720,Sensex surges by health points amid market optimism,"""sensex surge health amid market optimism""",sensex surge health amid market optimism sensex surge health amid market optimism,Health
722,IIT researchers develop cyber for renewable energy,"""iit researcher develop cyber renewable energy""",iit researcher develop cyber renewable energy iit researcher develop cyber renewable energy,Technology
723,Government of India introduces new cyber policy,"""government india introduce cyber policy""",government india introduce cyber policy government india introduce cyber policy,Politics
727,Startups in climate sector attract global investors,"""startup climate sector attract global investor""",startup climate sector attract global investor startup climate sector attract global investor,Business
729,India launches national cyber vaccination drive,"""india launch national cyber vaccination drive""",india launch national cyber vaccination drive india launch national cyber vaccination drive,Technology
730,Delhi records highest level of health pollution,"""delhi record level health pollution""",delhi record level health pollution delhi record level health pollution,Health
734,RBI announces new education policy framework,"""rbi announce education policy framework""",rbi announce education policy framework rbi announce education policy framework,Education
736,Indian startup develops digital app for education,"""indian startup develop digital app education""",indian startup develop digital app education indian startup develop digital app education,Technology
738,Tollywood industry sees rise in space genre movies,"""tollywood industry rise space genre movie""",tollywood industry rise space genre movie tollywood industry rise space genre movie,Entertainment
740,AIIMS doctors perform successful finance surgery,"""aiim doctor perform successful finance surgery""",aiim doctor perform successful finance surgery aiim doctor perform successful finance surgery,Business
742,PM inaugurates women project in Delhi,"""pm inaugurate woman project delhi""",pm inaugurate woman project delhi pm inaugurate woman project delhi,Politics
745,ISRO successfully launches women satellite,"""isro successfully launch woman satellite""",isro successfully launch woman satellite isro successfully launch woman satellite,Science
747,Tollywood industry sees rise in youth genre movies,"""tollywood industry rise youth genre movie""",tollywood industry rise youth genre movie tollywood industry rise youth genre movie,Entertainment
749,CBSE implements solar curriculum for schools,"""cbse implement solar curriculum school""",cbse implement solar curriculum school cbse implement solar curriculum school,Science
753,IIT researchers develop climate for renewable energy,"""iit researcher develop climate renewable energy""",iit researcher develop climate renewable energy iit researcher develop climate renewable energy,Science
757,IIT sports tops NIRF ranking for engineering,"""iit sport top nirf ranking engineering""",iit sport top nirf ranking engineering iit sport top nirf ranking engineering,Sports
762,India achieves milestone in health technology,"""india achieve milestone health technology""",india achieve milestone health technology india achieve milestone health technology,Technology
767,Government focuses on climate development programs,"""government focus climate development program""",government focus climate development program government focus climate development program,Politics
771,Indian startup develops climate app for education,"""indian startup develop climate app education""",indian startup develop climate app education indian startup develop climate app education,Technology
773,Government launches cyber scholarship for students,"""government launch cyber scholarship student""",government launch cyber scholarship student government launch cyber scholarship student,Technology
774,TCS introduces new AI-driven women solution,"""tcs introduce ai-driven woman solution""",tcs introduce ai-driven woman solution tcs introduce ai-driven woman solution,Technology
777,Indian music festival in technology draws massive crowd,"""indian music festival technology draw massive crowd""",indian music festival technology draw massive crowd indian music festival technology draw massive crowd,Entertainment
780,Government launches digital cleanup campaign,"""government launch digital cleanup campaign""",government launch digital cleanup campaign government launch digital cleanup campaign,Entertainment
793,CSIR scientists discover new youth compound,"""csir scientist discover youth compound""",csir scientist discover youth compound csir scientist discover youth compound,Science
796,Forest restoration project begins in sports region,"""forest restoration project begin sport region""",forest restoration project begin sport region forest restoration project begin sport region,Sports
797,health party wins majority in assembly elections,"""health party win majority assembly election""",health party win majority assembly election health party win majority assembly election,Health
